Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
27,0,72064.98424,42481.1544,0,0,0,0,0,70531.8809,292905.3257,298852.5096,34915.49971,163850.7218,0,0,0,0,143697.2971,0,23652.0273,164316.77,0,0,0,181064.309,716740.5292,85987.20486,14057.04502,0,259374.6764,461800.1644,354392.7456,272262.5731,441270.0798,460449.5698,15733.89699,0,91909.88917,4258.646749,62081.20649,0
28,0,42200.3741,19241.91216,0,0,0,0,0,61069.55446,241579.6215,310346.1436,19789.844,167024.6512,0,0,0,0,151402.0019,0,16657.72762,116740.1,0,0,0,282559.9823,740605.9134,145073.2559,16940.46428,0,290703.2401,610052.0219,376700.2334,295467.7501,468776.2624,453400.0376,14491.13914,0,79579.55906,7466.133862,60656.01625,0
29,0,52029.73801,25348.16464,0,0,0,0,0,75769.70413,258715.9686,253195.4331,18898.26454,168348.5415,0,0,0,0,155875.8951,0,19350.9292,139493.5494,0,0,0,250972.8517,620668.422,131893.9873,13931.67896,0,266774.1217,627322.2042,385140.471,341137.7693,503566.0886,457976.9227,16004.1491,0,98735.28142,6352.964808,62036.98338,0
30,0,85113.89959,26816.59206,0,0,0,0,0,78326.03423,325852.6566,228780.0984,19703.30243,161804.2539,0,0,0,0,130579.632,0,19888.56646,173827.6938,0,0,0,359228.885,518705.1622,119831.0449,12275.84411,0,279480.2299,672661.822,382928.1665,345707.1788,488267.8301,453547.9019,15644.48272,0,102066.4277,443.0672874,54007.47362,0
31,0,80145.77116,24675.5948,0,0,0,0,0,78249.9351,402461.677,272880.9226,34605.56012,158363.7425,0,0,0,0,148247.5068,0,13284.45503,194874.2085,0,0,0,401391.8667,724468.4061,141952.9587,14390.01726,0,272819.8266,596840.4577,355368.0843,385624.0557,492537.3447,471156.1651,20179.49396,0,101967.2632,6598.002021,56822.67663,0
32,0,52798.72899,34258.96315,0,0,0,0,0,66986.26207,344465.9808,230967.2638,29438.22315,173897.6564,0,0,0,0,138102.1782,0,19881.54508,145508.4144,0,0,0,476450.9211,714886.7611,171143.9353,10212.82031,0,265935.8054,640853.6052,412017.9165,402545.4168,464327.2637,415609.5516,10668.42808,0,87289.60357,3835.5825,58906.18818,0
33,0,49644.58965,25018.39493,0,0,0,0,0,67615.08122,316864.2825,182328.8726,28982.37044,157798.5085,0,0,0,0,141674.2867,0,14628.54818,115040.1815,0,0,0,511319.9357,704890.0486,147172.5107,9083.522883,0,209118.8147,814895.9358,359045.9028,426190.9825,478998.8321,488256.1636,15700.74338,0,88109.01598,15657.37784,57405.61763,0
34,0,49794.55885,22458.41974,0,0,0,0,0,54498.99508,372425.1255,154288.2913,23902.58134,137893.0505,0,0,0,0,121160.1851,0,11948.38631,106783.148,0,0,0,421995.9197,659194.515,139167.6597,8841.817128,0,183823.9226,588011.3589,310654.8731,382957.6472,635114.868,369376.6858,12272.8616,0,71017.48222,30331.60638,54776.3527,0
35,0,53910.73461,17380.56763,0,0,0,0,0,63141.25323,366351.547,149924.9766,18680.90431,156021.6292,0,0,0,0,141070.2611,0,13132.99378,123440.5453,0,0,0,457150.7952,775742.2877,139582.897,11278.93324,0,184061.5793,657183.3271,396124.8087,443388.2135,639169.8039,445872.2741,19784.66467,0,82279.18372,30969.70329,57721.20983,0
36,0,31925.88886,20298.37803,0,0,0,0,0,52529.42935,280169.7877,136188.0961,19503.04925,146129.0315,0,0,0,0,131268.9819,0,10078.69255,81987.9922,0,0,0,379173.9533,660796.6358,138266.9761,10368.27421,0,161858.2293,757964.9927,340399.1926,404036.1177,531891.4805,382803.203,12762.12843,0,68450.94684,26402.0096,61986.72985,0
