Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
36,1,0.100411039,0.158184319,0.221428571,0.682663791,0.399171271,0.174203543,0.532871972,0.852130703,0.5,0.170475602,0.213471023,0.092050209,0.375134264,0.690909091,0.654320988,0.000823045,0.217942909,0.002357696,0.389422238,0.148592625,0.113207547,0.003061224,0.003027245,0.811665843,0.767216943,0.767216943,0.865430039,0.556269418,0.865165253,0.981927711,0.426985483,0.6485281,0.31840796,0.929364279,0.338461538,0.444444444,0.944444445,0.247706422,0.090817356,0.134920635,0.197969543
37,1,0.092190252,0.178817056,0.25,0.68077649,0.414364641,0.174472211,0.581314879,0.884806505,0.499619772,0.169034383,0.224028977,0.058577406,0.348952739,0.636363636,0.679012345,0.003292181,0.252378795,0.008420344,0.369174376,0.137246345,0.123004354,0.004081633,0.00605449,0.829461196,0.765924945,0.765924945,0.859281309,0.525241125,0.892775666,0.969879518,0.454312553,0.665477253,0.316749586,0.932391524,0.153846154,0.487179487,0.944444445,0.189602446,0.076690212,0.119047619,0.206091371
38,1,0.09982384,0.13480055,0.292857143,0.680237261,0.42679558,0.192421028,0.584775086,0.86492998,0.499619772,0.168982911,0.235434649,0.033472803,0.31471536,0.6,0.693415638,0.012345679,0.289080199,0.025934658,0.388374934,0.140737508,0.141146589,0.008163265,0.01715439,0.836875927,0.751870059,0.751870059,0.863207518,0.499752768,0.913717461,0.981927711,0.485909479,0.645851918,0.344941957,0.934409687,0.107692308,0.435897436,1,0.168195719,0.062563068,0.158730159,0.169543147
39,1,0.133881386,0.093535076,0.321428571,0.703693718,0.404696133,0.223696834,0.612456747,0.829995483,0.503422053,0.172534486,0.255086313,0.034867503,0.266648765,0.618181818,0.716049383,0.026337449,0.329557469,0.079824857,0.409146448,0.142046694,0.16436865,0.014285714,0.058526741,0.853188334,0.760964934,0.760964934,0.873984179,0.476261212,0.929160573,0.981927711,0.512382579,0.617305977,0.472636816,0.942482341,0.138461538,0.41025641,1,0.182466871,0.043390515,0.174603175,0.126903553
40,1,0.160892543,0.057771664,0.307142857,0.743596657,0.388121547,0.260591973,0.671280277,0.822767655,0.508365019,0.170527074,0.291846486,0.071129707,0.245166488,0.563636364,0.687242798,0.0781893,0.374867845,0.12327383,0.457322395,0.136155357,0.193033382,0.018367347,0.137235116,0.84725655,0.751057113,0.751057113,0.889168306,0.490828503,0.916876279,0.987951807,0.532023911,0.652096343,0.490878939,0.94752775,0.2,0.435897436,1,0.231396534,0.02320888,0.166666667,0.108629442
41,1,0.166177334,0.038514443,0.282142857,0.773254246,0.450276243,0.314066011,0.636678201,0.812377654,0.505323194,0.173872761,0.337392109,0.093444909,0.25255102,0.727272727,0.648148148,0.158847737,0.44781755,0.274840014,0.502356432,0.133536985,0.27467344,0.02755102,0.243188698,0.823529412,0.762004573,0.762004574,0.88657088,0.493657077,0.914302428,0.975903615,0.546541418,0.654772525,0.441127695,0.954591322,0.246153846,0.615384615,1,0.29969419,0.007063572,0.126984127,0.083248731
42,1,0.214914856,0.039889959,0.307142857,0.801833378,0.575966851,0.363923942,0.591695502,0.799277217,0.492395437,0.183292156,0.373304562,0.085076709,0.250402793,0.745454546,0.586419753,0.209876543,0.542667271,0.340181879,0.516320475,0.13397338,0.300435414,0.045918367,0.342078708,0.832921404,0.783825356,0.783825356,0.884412378,0.518739067,0.920971044,0.987951807,0.570452605,0.692239073,0.446102819,0.958627649,0.246153846,0.598290598,1,0.354740061,0.002018163,0.111111111,0.054822335
43,1,0.258367587,0.061898212,0.389285714,0.810730655,0.667127072,0.393838754,0.581314879,0.744917934,0.47338403,0.191887997,0.421624537,0.089260809,0.227175081,0.745454546,0.615226337,0.279835391,0.578311433,0.274166386,0.538139291,0.119135937,0.306603774,0.07244898,0.393541877,0.838358873,0.802204372,0.802204372,0.890455286,0.515676795,0.67078093,0.957831325,0.584970111,0.684210526,0.452736319,0.955600403,0.307692308,0.606837607,1,0.388379205,0.008072654,0.126984127,0.030456853
44,1,0.332354668,0.090784044,0.482142857,0.82798598,0.729281768,0.411003916,0.584775086,0.59524168,0.457794677,0.204292773,0.459540691,0.071129707,0.214419978,0.818181818,0.703703704,0.319341564,0.641443891,0.209161334,0.540757549,0.103207506,0.295718432,0.101020408,0.394550959,0.841819081,0.806476024,0.806476024,0.894414789,0.564441521,0.934893244,0.957831325,0.589239966,0.66190901,0.414593698,0.938446014,0.4,0.547008547,1,0.395514781,0.025227043,0.134920635,0.01928934
45,1,0.398120963,0.114167813,0.45,0.722027501,0.679558011,0.430955647,0.667820069,0.563318777,0.447148289,0.218499073,0.481196054,0.078103208,0.214822771,0.8,0.736625514,0.253497942,0.682676333,0.17817447,0.536568337,0.121972507,0.29934688,0.124489796,0.367305752,0.84083045,0.788187132,0.788187132,0.898872234,0.634984279,0.924188359,0.939759036,0.59265585,0.700267618,0.431177446,0.920282543,0.338461538,0.487179487,1,0.373088685,0.044399596,0.063492063,0.021319797
