ID,Country,Name,Type,Electric_capacity,Thermal capacity,zone_el,Latitude,Longitude,demand_price
Electric heat pump427DK,DK,Name256,Electric heat pump,0,0.67,DK1,56.4773,8.7928,21.07121368
Electric heat pump428DK,DK,Name257,Electric heat pump,0,0.3,DK1,57.1243,8.6224,22.34798181
Electric heat pump429DK,DK,Name258,Electric heat pump,0,9.3,DK1,55.9494,9.1246,22.84850129
Electric heat pump430DK,DK,Name259,Electric heat pump,0,11,DK1,57.4467,10.5181,20.01271964
Electric heat pump431DK,DK,Name260,Electric heat pump,0,0.95,DK1,55.2808,9.0469,21.71093801
Electric heat pump432DK,DK,Name261,Electric heat pump,0,0.84,DK1,55.6642,8.5738,25.45222037
Electric heat pump433DK,DK,Name262,Electric heat pump,0,0.5,DK1,56.1302,8.5145,25.72277437
Electric heat pump434DK,DK,Name263,Electric heat pump,0,1.65,DK1,57.1487,10.4027,24.99191373
Electric heat pump435DK,DK,Name264,Electric heat pump,0,2,DK1,54.9478,9.8779,21.64439711
Electric heat pump436DK,DK,Name265,Electric heat pump,0,2.4,DK1,57.1015,9.5162,26.02940551
Electric heat pump437DK,DK,Name266,Electric heat pump,0,5,DK1,57.154,10.2823,20.18821256
Electric heat pump438DK,DK,Name267,Electric heat pump,0,2.1,DK1,55.6192,9.3176,20.53456511
Electric heat pump439DK,DK,Name268,Electric heat pump,0,2.2,DK1,55.983,9.2908,26.45330705
Electric heat pump440DK,DK,Name269,Electric heat pump,0,16.1,DK2,55.84484,12.32589,22.85736249
Electric heat pump441DK,DK,Name270,Electric heat pump,0,2.5,DK2,55.2865,11.8168,27.13412372
Electric heat pump442DK,DK,Name271,Electric heat pump,0,7.1,DK1,55.25057,9.47107,19.34918035
Electric heat pump443DK,DK,Name272,Electric heat pump,0,3.3,DK1,56.1522,9.9059,19.23739021
Electric heat pump444DK,DK,Name273,Electric heat pump,0,0.3,DK1,55.0793,9.215,19.67634717
Electric heat pump445DK,DK,Name274,Electric heat pump,0,1,DK1,55.76163,8.93292,24.8713025
Electric heat pump446DK,DK,Name275,Electric heat pump,0,4,DK1,56.423,10.9069,26.54512794
Electric heat pump447DK,DK,Name276,Electric heat pump,0,2.5,DK1,55.9149,10.1454,20.54626424
Electric heat pump448DK,DK,Name277,Electric heat pump,0,1,DK1,57.1144,9.5933,24.55767661
Electric heat pump449DK,DK,Name278,Electric heat pump,0,1,DK1,56.5008,9.7491,26.17453783
Electric heat pump450DK,DK,Name279,Electric heat pump,0,2,DK2,55.2948,11.4235,23.5350408
Electric heat pump451DK,DK,Name280,Electric heat pump,0,8,DK1,55.7603,9.6882,18.97463746
Electric heat pump452DK,DK,Name281,Electric heat pump,0,4.65,DK1,56.0006,8.1331,25.4513145
Electric heat pump453DK,DK,Name282,Electric heat pump,0,4,DK1,56.1218,9.0075,20.05773245
Electric heat pump454DK,DK,Name283,Electric heat pump,0,1,DK2,55.8317,11.9964,20.78203484
Electric heat pump455DK,DK,Name284,Electric heat pump,0,10,DK2,55.6597,11.0796,19.27659818
Electric heat pump456DK,DK,Name285,Electric heat pump,0,4.8,DK1,56.3088,9.1678,22.59031165
Electric heat pump457DK,DK,Name286,Electric heat pump,0,2,DK1,56.1311,8.183,20.21740242
Electric heat pump458DK,DK,Name287,Electric heat pump,0,1.5,DK1,56.8866,10.116,17.76969521
Electric heat pump459DK,DK,Name288,Electric heat pump,0,2.9,DK1,56.4055,9.9035,21.42959061
Electric heat pump460DK,DK,Name289,Electric heat pump,0,4.4,DK1,56.023,8.3783,18.23441904
Electric heat pump461DK,DK,Name290,Electric heat pump,0,0.3,DK1,57.4089,10.293,23.53242602
Electric heat pump462DK,DK,Name291,Electric heat pump,0,1.95,DK1,56.3361,10.3768,23.20584383
Electric heat pump463DK,DK,Name292,Electric heat pump,0,1,DK2,55.6521,11.5041,24.12779945
Electric heat pump464DK,DK,Name293,Electric heat pump,0,2,DK1,56.9766,9.6545,26.69695093
Electric heat pump465DK,DK,Name294,Electric heat pump,0,2.5,DK1,55.9644,9.3878,27.38081307
Electric heat pump466DK,DK,Name295,Electric heat pump,0,1.5,DK1,55.7205,8.3441,21.30029339
Electric heat pump467DK,DK,Name296,Electric heat pump,0,3,DK1,55.3281,8.7561,18.29411536
Electric heat pump468DK,DK,Name297,Electric heat pump,0,4.5,DK1,56.0901,8.277,27.25184835
Electric heat pump469DK,DK,Name298,Electric heat pump,0,6.2,DK2,55.4614,11.8245,20.55061676
Electric heat pump470DK,DK,Name299,Electric heat pump,0,2,DK1,56.0719,9.6939,25.58138059
Electric heat pump471DK,DK,Name300,Electric heat pump,0,1.2,DK1,57.2755,9.7011,17.98752875
Electric heat pump472DK,DK,Name301,Electric heat pump,0,1.3,DK1,56.6974,8.6932,20.43957729
Electric heat pump473DK,DK,Name302,Electric heat pump,0,12,DK1,57.7212,10.5965,19.60942142
Electric heat pump474DK,DK,Name303,Electric heat pump,0,0.5,DK1,56.5576,9.4013,22.99028669
Electric heat pump475DK,DK,Name304,Electric heat pump,0,1,DK2,55.7986,12.2174,20.72991405
Electric heat pump476DK,DK,Name305,Electric heat pump,0,2.5,DK1,56.4792,9.1543,27.00038001
Electric heat pump477DK,DK,Name306,Electric heat pump,0,3,DK1,57.4874,10.4883,21.28789343
Electric heat pump478DK,DK,Name307,Electric heat pump,0,8,DK1,56.8877,9.819,26.72529857
Electric heat pump479DK,DK,Name308,Electric heat pump,0,10,DK1,55.0618,10.6068,18.27538453
Electric heat pump480DK,DK,Name309,Electric heat pump,0,5,DK1,55.8742,8.5886,26.99524736
Electric heat pump481DK,DK,Name310,Electric heat pump,0,0.3,DK1,57.3409,10.2385,18.38809479
Electric heat pump482DK,DK,Name311,Electric heat pump,0,1.22,DK1,56.1901,8.3144,24.73804145
Electric heat pump483DK,DK,Name312,Electric heat pump,0,1.7,DK1,55.3244,10.2048,21.46447672
Electric heat pump484DK,DK,Name313,Electric heat pump,0,0.5,DK1,57.1329,9.4635,21.38688502
Electric heat pump485DK,DK,Name314,Electric heat pump,0,0.8,DK1,55.9945,8.7434,25.52226319
Electric heat pump486DK,DK,Name315,Electric heat pump,0,4.5,DK1,54.9395,8.8742,21.92510664
Electric heat pump487DK,DK,Name316,Electric heat pump,0,2.6,DK1,55.8589,9.4849,24.21510117
Electric heat pump488DK,DK,Name317,Electric heat pump,0,1,DK1,56.4292,10.0485,22.58008668
Electric heat pump489DK,DK,Name318,Electric heat pump,0,2.5,DK1,56.3948,9.9563,27.25944688
Geothermal490DK,DK,Name319,Geothermal,0,10,DK1,54.9279,9.8377,21.80102781
Geothermal491DK,DK,Name320,Geothermal,0,8.3,DK1,56.9669,8.7152,22.45973045
Electric heat pump492DK,DK,Name321,Electric heat pump,0,5,DK2,55.66,11.4052,24.99795523
Electric heat pump493DK,DK,Name322,Electric heat pump,0,16,DK1,56.0901,8.277,25.42711329
Electric heat pump494DK,DK,Name323,Electric heat pump,0,1.6,DK1,57.287,10.0949,25.05819344
Electric heat pump495DK,DK,Name324,Electric heat pump,0,0.44,DK1,56.7306,9.9304,17.9602716
Electric heat pump496DK,DK,Name325,Electric heat pump,0,1,DK1,56.5176,10.0806,27.20700633
Electric heat pump497DK,DK,Name326,Electric heat pump,0,1.5,DK1,56.8338,10.1167,24.62300047
Electric heat pump498DK,DK,Name327,Electric heat pump,0,5.06,DK1,56.4626,9.3961,26.65958773
Electric heat pump499DK,DK,Name328,Electric heat pump,0,2.71,DK1,57.2479,10.2864,18.88468594
Electric heat pump500DK,DK,Name329,Electric heat pump,0,22,DK1,56.2073,9.5545,18.86249253
Electric heat pump501DK,DK,Name330,Electric heat pump,0,2,DK1,57.3891,10.1181,22.43426478
Electric heat pump502DK,DK,Name331,Electric heat pump,0,3,DK1,56.3401,9.2506,25.52698793
Electric heat pump503DK,DK,Name332,Electric heat pump,0,2,DK1,56.3948,9.9563,21.91387368
Electric heat pump504DK,DK,Name333,Electric heat pump,0,1,DK1,57.2089,10.4826,19.09802807
Electric heat pump505DK,DK,Name334,Electric heat pump,0,6,DK2,55.9171,11.6514,27.13183554
Electric heat pump506DK,DK,Name335,Electric heat pump,0,6,DK1,56.2034,8.7629,26.42558516
Electric heat pump507DK,DK,Name336,Electric heat pump,0,2.5,DK1,55.9149,10.1454,19.50612597
Electric heat pump508DK,DK,Name337,Electric heat pump,0,5.06,DK1,56.4626,9.3961,24.7405661
Electric heat pump509DK,DK,Name338,Electric heat pump,0,1,DK1,56.19621528,10.67671875,18.11717158
Electric heat pump510DK,DK,Name339,Electric heat pump,0,4.5,DK1,56.41171667,10.89499341,20.80610701
Electric heat pump511DK,DK,Name340,Electric heat pump,0,12.7,DK1,56.38932062,9.79300187,21.08361336
Electric heat pump512DK,DK,Name341,Electric heat pump,0,1,DK1,56.25631393,9.864563885,21.55011335
