ID,country,name,capacity_el,storage_capacity,zone_el,charge_bid_price,discharge_bid_price
S369DE,DE,Speicher Lettweiler,1.510452725,0,DELU,80.19381744,114.5528789
S370DE,DE,Speicher Weinheim  P23055,0.60418109,1.20836218,DELU,83.65954915,118.0186106
S371DE,DE,Hesse solarstorage,0.966689744,0,DELU,88.47830832,122.8373698
S372DE,DE,Kaiserslautern solarplusstorage,7.18975497,7.18975497,DELU,80.59264092,114.9517024
S373DE,DE,Ottenhofen,60.41810899,60.41810899,DELU,62.01165574,96.37071717
S374DE,DE,AgriPhotovoltaik Epfendorf BA Inno,0.302090545,0,DELU,86.13237212,120.4914336
S375DE,DE,AgriSolarpark Lffingen BA Inno,0.302090545,0.725017308,DELU,61.98632823,96.34538966
S376DE,DE,MJ 13 Speicher,5.437629809,10.87525962,DELU,81.19206154,115.551123
S377DE,DE,MJ 6 Speicher,4.289685738,8.579371477,DELU,75.66226751,110.0213289
S378DE,DE,Speicher Schweinberg,1.872961379,3.745922758,DELU,68.22821963,102.5872811
S379DE,DE,P20119 Solarpark Seckach III  Speicher,1.20836218,2.41672436,DELU,72.88719246,107.2462539
S380DE,DE,Speicher Adelsheim  P21096,0.60418109,0,DELU,80.95058071,115.3096422
S381DE,DE,HLB2,0.60418109,0.519595737,DELU,69.46790032,103.8269618
S382DE,DE,Marbach,60.41810899,60.41810899,DELU,70.5114774,104.8705388
S383DE,DE,Wetzisreute PV,0.302090545,0.725017308,DELU,84.88623425,119.2452957
S384DE,DE,Eratsrain PV,0.302090545,0.725017308,DELU,81.97811905,116.3371805
S385DE,DE,Richlisreute PV,0.302090545,0,DELU,81.20348255,115.562544
S386DE,DE,Solarpark Rot an der Rot Speicher,1.20836218,1.027107853,DELU,63.17478494,97.53384638
S387DE,DE,ABO Batterie Heimertingen,0.906271635,0,DELU,63.61676102,97.97582246
S388DE,DE,Stromspeicher Seien,1.105651395,2.2173446,DELU,82.66825027,117.0273117
S389DE,DE,Speicher Rtenbach,2.235470033,4.470940065,DELU,68.72923715,103.0882986
S390DE,DE,Speicher Veitswend,1.2748221,0,DELU,85.84666738,120.2057288
S391DE,DE,Speicher Muhlbuck,0.966689744,0,DELU,59.7147937,94.07385514
S392DE,DE,Speicher Mosbach  P18016,1.20836218,0,DELU,64.55226898,98.91133042
S393DE,DE,Speicher Martinsheim  P23148,2.41672436,4.833448719,DELU,62.47025245,96.82931389
S394DE,DE,Energy Buffer Unit EBU Alt Daber lead acid,0.60418109,0.610222901,DELU,62.15156779,96.51062923
S395DE,DE,Speicher Prosselsheim  P23089,1.81254327,3.62508654,DELU,63.2607969,97.61985834
S396DE,DE,peicher Volkershausen,5.23825005,0,DELU,69.25532547,103.6143869
S397DE,DE,Freifeldanlage Meeder,0.302090545,0.779393606,DELU,78.51724993,112.8763114
S398DE,DE,Speicher Meeder III  P23270,0.60418109,1.20836218,DELU,62.17749553,96.53655697
S399DE,DE,Speichersystem Innovation US2,1.752125161,0,DELU,89.05112751,123.4101889
S400DE,DE,Speicher Hinterer Grie,1.437950994,2.88798561,DELU,89.17360593,123.5326674
S401DE,DE,Solarpark Breites Feld in Priegendorf,0.314174167,0.906271635,DELU,67.25198525,101.6110467
S402DE,DE,VierethTrunstadt solarplusstorage,3.389455914,9.666897439,DELU,73.67119412,108.0302556
S403DE,DE,PASM Grospeicher Bamberg,2.41672436,14.50034616,DELU,69.1547194,103.5137808
S404DE,DE,Stromspeicher 1740 kW,1.051275096,1.81254327,DELU,62.51441445,96.87347589
S405DE,DE,P23567 Solarpark Sparneck  Speicher,2.41672436,4.833448719,DELU,67.50967877,101.8687402
S406DE,DE,Speicher Halach,3.806340867,7.612681733,DELU,70.62538758,104.984449
S407DE,DE,Speicher Waidhaus,2.054215706,0,DELU,61.10199665,95.46105808
S408DE,DE,Speicher Gelpertsricht,2.338180818,4.688445258,DELU,88.93111498,123.2901764
S409DE,DE,Eco Power Four,181.254327,362.508654,DELU,80.18784044,114.5469019
S410DE,DE,Speicher Hohenzant III,1.703790674,0,DELU,61.8894037,96.24846514
S411DE,DE,Batteriespeicher Hirschbach 18 MW,1.087525962,2.175051924,DELU,77.57442901,111.9334904
S412DE,DE,Speicher Altdorf bei Nurnberg II  P23349,3.02090545,0,DELU,67.15563854,101.5147
S413DE,DE,SMAREG6 Gunzenhausen,14.50034616,15.40661779,DELU,79.58323519,113.9422966
S414DE,DE,Speicher Lohrmannshof,4.108431411,8.222904634,DELU,72.57584508,106.9349065
S415DE,DE,P22218 Solarpark BeilngriesArnbuch  Speicher,1.20836218,2.41672436,DELU,80.04391167,114.4029731
S416DE,DE,Batterie Gunzenhof,0.80356085,1.770250593,DELU,67.59466099,101.9537224
S417DE,DE,Speicher Otterzhofen West,1.848794135,0,DELU,74.35663742,108.7156989
S418DE,DE,Burgersolarpark Schwebheim Speicher,3.62508654,7.250173079,DELU,80.93367918,115.2927406
S419DE,DE,P23408 Solarpark Parsberg V  Speicher,1.20836218,2.41672436,DELU,60.25852772,94.61758916
S420DE,DE,Speicher Beratzhausen III  P23025,2.41672436,4.833448719,DELU,66.91626238,101.2753238
S421DE,DE,Batterie Otterzhofen NordOst,0.767309984,1.770250593,DELU,62.1423236,96.50138503
S422DE,DE,Speicher Altenschwand,3.008821828,6.041810899,DELU,71.44193747,105.8009989
S423DE,DE,Speicher Stamsried  P22221,1.20836218,2.41672436,DELU,83.02566945,117.3847309
S424DE,DE,Speicher Solarpark Waffenbrunn 1200 kW,0.725017308,2.41672436,DELU,61.30772926,95.6667907
S425DE,DE,Speicher Seibersdorf,3.69758827,3.909051652,DELU,69.40257945,103.7616409
S426DE,DE,Speicher Otterzhofen Sud,1.601079888,0,DELU,84.56098773,118.9200492
S427DE,DE,Speicher Laaber  P23003,1.20836218,0,DELU,88.03826715,122.3973286
S428DE,DE,Dorfen solarplusstorage,1.178153125,2.41672436,DELU,71.8166504,106.1757118
S429DE,DE,Speicher KunzbauernFeld,0.851895337,1.703790674,DELU,80.67754866,115.0366101
S430DE,DE,P22504 Solarpark BeilngriesKirchbuch  Speicher,1.885045001,3.770090001,DELU,64.37358977,98.73265121
S431DE,DE,Speicher Schernfeld  P22271,1.20836218,2.41672436,DELU,79.92682969,114.2858911
S432DE,DE,SMAREG7 Monheim,7.250173079,8.518953368,DELU,74.94059665,109.2996581
S433DE,DE,Speicher Eggenreuth,4.02988787,12.0836218,DELU,71.90747533,106.2665368
S434DE,DE,Batteriespeicher Bhmreut,1.20836218,2.452975225,DELU,80.77839741,115.1374588
S435DE,DE,MJ 12 Speicher,2.869860177,5.739720354,DELU,79.53373081,113.8927923
S436DE,DE,PV Speicher,0.888146202,0,DELU,76.73748532,111.0965468
S437DE,DE,MJ6 Untere Hub Speicher,4.712612501,9.364806894,DELU,73.52941663,107.8884781
S438DE,DE,Speicher Denkendorf V  P23354,1.20836218,0,DELU,61.72211252,96.08117396
S439DE,DE,Hierlacker Batterie,1.61316351,0,DELU,61.62260394,95.98166537
S440DE,DE,Speicher Hallenhausen,1.848794135,0,DELU,60.17470328,94.53376472
S441DE,DE,P23328 Karlskron IV Solar Park  Storage,1.885045001,3.770090001,DELU,87.94031197,122.2993734
S442DE,DE,Speicher Arnsdorf,1.95150492,3.909051652,DELU,82.33131539,116.6903768
S443DE,DE,P23018 Solarpark Gachenbach  Speicher,1.885045001,3.770090001,DELU,83.46066841,117.8197298
S444DE,DE,Speicher Schmelchen,2.875901988,0,DELU,68.20311686,102.5621783
S445DE,DE,Speicher Reutern,1.661497997,3.335079616,DELU,89.05750446,123.4165659
S446DE,DE,Speicher Dinkelscherben  P22217,1.81254327,3.62508654,DELU,61.31102362,95.67008506
S447DE,DE,Speicher Sielenbach,4.108431411,8.222904634,DELU,75.95448319,110.3135446
S448DE,DE,Speicher Hrbach Falteracker,0.966689744,1.933379488,DELU,78.02181863,112.3808801
S449DE,DE,Siemens Germany BESS,0.652515577,0.326257789,DELU,83.97922209,118.3382835
S450DE,DE,Siemens Germany BESS,0.652515577,0.326257789,DELU,81.83012231,116.1891838
S451DE,DE,Speicher Schweitenkirchen  P22472,2.41672436,0,DELU,84.98010591,119.3391673
S452DE,DE,AgriPV  Speicher,0.145003462,0.290006923,DELU,78.04570221,112.4047636
S453DE,DE,Solarpark Munchham 51 GmbH Batterie,3.745922758,8.990214618,DELU,62.56296167,96.92202311
S454DE,DE,Stromspeicher Unterwendling,1.027107853,2.41672436,DELU,77.21540848,111.5744699
S455DE,DE,AgriSolarpark Kirchweidach BatI,0.157087083,0.664599199,DELU,61.90880786,96.2678693
S456DE,DE,Speicher Krucklham,1.20836218,0,DELU,88.65062558,123.009687
S457DE,DE,Speicher Solarpark Bad Feilnbach,1.570870834,3.685504649,DELU,85.54856837,119.9076298
S458DE,DE,PASM Grospeicher Munchen,0.60418109,3.62508654,DELU,65.36764575,99.72670719
S459DE,DE,ECO Battery 3  Trading Egling,1.81254327,3.685504649,DELU,73.62739698,107.9864584
S460DE,DE,Speicher Dettenschwang,1.437950994,2.881943799,DELU,75.91045575,110.2695172
S461DE,DE,Speicher Wolfratshausen II  P23197,0.60418109,0,DELU,72.34852894,106.7075904
S462DE,DE,BESS Peienberg,0.60418109,1.226487613,DELU,67.61212319,101.9711846
S463DE,DE,BESS Oberschering,0.241672436,0,DELU,85.10784624,119.4669077
S464DE,DE,Speicher Osterberg,1.848794135,0,DELU,78.92939808,113.2884595
S465DE,DE,New BESSDE465,604.1810899,978.7733657,DELU,65.04523022,99.40429166
S466DE,DE,New BESSDE466,604.1810899,978.7733657,DELU,89.28008907,123.6391505
S467DE,DE,New BESSDE467,604.1810899,978.7733657,DELU,86.98537121,121.3444327
S468DE,DE,New BESSDE468,604.1810899,978.7733657,DELU,66.01099865,100.3700601
S469DE,DE,New BESSDE469,604.1810899,978.7733657,DELU,71.45363477,105.8126962
S470DE,DE,New BESSDE470,604.1810899,978.7733657,DELU,60.46505605,94.82411749
S471DE,DE,New BESSDE471,604.1810899,978.7733657,DELU,69.08985224,103.4489137
S472DE,DE,New BESSDE472,604.1810899,978.7733657,DELU,80.55882691,114.9178883
S473DE,DE,New BESSDE473,604.1810899,978.7733657,DELU,60.6000034,94.95906484
S474DE,DE,New BESSDE474,604.1810899,978.7733657,DELU,71.7777513,106.1368127
S475DE,DE,New BESSDE475,604.1810899,978.7733657,DELU,72.27474167,106.6338031
S476DE,DE,New BESSDE476,604.1810899,978.7733657,DELU,64.21498097,98.57404241
S477DE,DE,New BESSDE477,604.1810899,978.7733657,DELU,74.23847277,108.5975342
S478DE,DE,New BESSDE478,604.1810899,978.7733657,DELU,74.18262472,108.5416862
S479DE,DE,New BESSDE479,604.1810899,978.7733657,DELU,68.24641115,102.6054726
S480DE,DE,New BESSDE480,604.1810899,978.7733657,DELU,67.44475862,101.8038201
S481DE,DE,New BESSDE481,604.1810899,978.7733657,DELU,86.03819905,120.3972605
S482DE,DE,New BESSDE482,604.1810899,978.7733657,DELU,83.46000612,117.8190676
