Time,Week,BE,BG,CZ,DK1,DK2,DELU,EE,SEM,EL,ES,FR,HR,IT,LV,LT,HU,NL,AT,PL,PT,RO,SI,SK,FI,SE1,SE2,SE3,SE4,GB,NO1,NO2,NO3,NO4,NO5,CH,ME,MK,AL,RS,BA,XK
28,1,0.70212766,0,0.61928934,0,0,0.523698524,0,0.435185185,0,0.728283898,0.648289688,0.529585799,0.27197094,0.004194631,0.255102041,0.804878049,0.863636364,0.382754801,0.393650794,0.91752988,0.349052446,0.280273438,0.204373423,0.393262828,0,0,0,0,0.352993744,0.669724771,0.559760956,0.656675749,0.5,0.414414414,0.407832168,0,0.095555556,0.282758621,0.225708502,0,0.288135593
29,1,0.70212766,0,0.61928934,0,0,0.511655012,0,0.435185185,0,0.728283898,0.653677484,0.532544379,0.262948207,0.16442953,0.255102041,0.804878049,0.863636364,0.382570162,0.39047619,0.915936255,0.390921111,0.309570313,0.20353238,0.428123776,0,0,0,0,0.35746202,0.669724771,0.557768924,0.656675749,0.5,0.405405405,0.423496503,0,0.142222222,0.342528736,0.219129555,0,0.338983051
30,1,0.680851064,0,0.609137056,0,0,0.515151515,0,0.435185185,0,0.727754237,0.69327152,0.529585799,0.377782986,0.356543624,0.255102041,0.804878049,0.818181818,0.3788774,0.387301587,0.91314741,0.555751432,0.356445313,0.214465938,0.475910693,0,0,0,0,0.44593387,0.669724771,0.557768924,0.648501362,0.5,0.432432432,0.399160839,0,0.195555556,0.331034483,0.410425101,0,0.338983051
31,1,0.680851064,0,0.593908629,0,0,0.532634033,0,0.435185185,0,0.794491525,0.745019421,0.579881657,0.491094446,0.637583893,0.255102041,0.804878049,0.818181818,0.394017725,0.387301587,0.885657371,0.566769502,0.47265625,0.317073171,0.507638073,0,0,0,0,0.481680071,0.669724771,0.557768924,0.648501362,0.5,0.432432432,0.395524476,0,0.166666667,0.554022989,0.506072874,0,0.559322034
32,1,0.680851064,0,0.588832487,0,0,0.535742036,0,0.615740741,0,0.820444915,0.750908407,0.647928994,0.569135224,0.705536913,0.255102041,0.804878049,0.818181818,0.427252585,0.463492063,0.901593625,0.566328779,0.63671875,0.448275862,0.572659616,0,0,0,0,0.516532618,0.669724771,0.561752988,0.651226158,0.5,0.423423423,0.433846154,0,0.246666667,0.462068966,0.567813765,0,0.457627119
33,1,0.680851064,0,0.583756345,0,0,0.536130536,0,0.712962963,0,0.826271186,0.78135572,0.686390533,0.604171549,0.708053691,0.255102041,0.780487805,0.818181818,0.427437223,0.511111111,0.917928287,0.564565888,0.62109375,0.484440706,0.58715237,0,0,0,0,0.557640751,0.667889908,0.551792829,0.656675749,0.5,0.432432432,0.488951049,0,0.32,0.604597701,0.658906883,0,0.610169492
34,1,0.70212766,0,0.583756345,0,0,0.547397047,0,0.759259259,0,0.851165254,0.805287558,0.695266272,0.555073822,0.708053691,0.255102041,0.731707317,0.818181818,0.435007386,0.514285714,0.909561753,0.595416483,0.576171875,0.472666106,0.616529573,0,0,0,0,0.588025022,0.667889908,0.551792829,0.664850136,0.5,0.432432432,0.479440559,0,0.375555556,0.597701149,0.702935223,0,0.593220339
35,1,0.70212766,0,0.583756345,0,0,0.517482517,0,0.787037037,0,0.846398305,0.807542914,0.615384615,0.468479025,0.708053691,0.316326531,0.731707317,0.818181818,0.4394387,0.514285714,0.917928287,0.593212869,0.538085938,0.465937763,0.571484528,0,0,0,0,0.613047364,0.666972477,0.557768924,0.675749319,0.5,0.423423423,0.49034965,0,0.357777778,0.703448276,0.662449393,0,0.711864407
36,1,0.723404255,0,0.583756345,0,0,0.522533023,0,0.805555556,0,0.850105932,0.813056008,0.609467456,0.379892196,0.67533557,0.255102041,0.829268293,0.818181818,0.42577548,0.517460317,0.865737052,0.561040106,0.552734375,0.461732548,0.588327458,0,0,0,0,0.573726542,0.667889908,0.557768924,0.675749319,0.5,0.423423423,0.463496503,0,0.353333333,0.659770115,0.618927126,0,0.661016949
37,1,0.723404255,0,0.583756345,0,0,0.526029526,0,0.796296296,0,0.850105932,0.801403333,0.597633136,0.368408718,0.636744966,0.255102041,0.829268293,0.818181818,0.429098966,0.520634921,0.887250996,0.538122521,0.653320313,0.37510513,0.558558559,0,0,0,0,0.553172475,0.667889908,0.555776892,0.678474114,0.5,0.423423423,0.438321678,0,0.342222222,0.673563218,0.605769231,0,0.677966102
38,1,0.723404255,0,0.578680203,0,0,0.543123543,0,0.768518519,0,0.856991525,0.782232803,0.609467456,0.387625967,0.630033557,0.255102041,0.829268293,0.818181818,0.425960118,0.533333333,0.886454183,0.539444689,0.657226563,0.359966358,0.567959264,0,0,0,0,0.53976765,0.666972477,0.553784861,0.683923706,0.5,0.414414414,0.436083916,0,0.608888889,0.708045977,0.535425101,0,0.711864407
39,1,0.723404255,0,0.578680203,0,0,0.533022533,0,0.717592593,0,0.860169492,0.791379526,0.609467456,0.48793063,0.648489933,0.255102041,0.829268293,0.818181818,0.421344165,0.536507937,0.884860558,0.548259145,0.670898438,0.358284272,0.652173913,0,0,0,0,0.538873995,0.666972477,0.553784861,0.686648501,0.509615385,0.414414414,0.438601399,0,0.62,0.666666667,0.469129555,0,0.661016949
40,1,0.723404255,0,0.578680203,0,0,0.543123543,0,0.731481481,0,0.860699153,0.81293071,0.662721893,0.60838997,0.735738255,0.255102041,0.829268293,0.818181818,0.431129985,0.603174603,0.884063745,0.655354782,0.7109375,0.370899916,0.687426557,0,0,0,0,0.559428061,0.667889908,0.553784861,0.689373297,0.5,0.414414414,0.411468531,0,0.548888889,0.648275862,0.5298583,0,0.644067797
41,1,0.70212766,0,0.578680203,0,0,0.536130536,0,0.814814815,0,0.870233051,0.851522366,0.73964497,0.741621748,0.688758389,0.255102041,0.829268293,0.818181818,0.45310192,0.641269841,0.985258964,0.665050683,0.73828125,0.495374264,0.686643165,0,0,0,0,0.600536193,0.666972477,0.553784861,0.70027248,0.509615385,0.396396396,0.467412587,0,0.573333333,0.813793103,0.601214575,0,0.813559322
42,1,0.70212766,0,0.578680203,0,0,0.546620047,0,0.833333333,0,0.879766949,0.868938729,0.74556213,0.753222404,0.681208054,0.255102041,0.829268293,0.772727273,0.455132939,0.638095238,0.985657371,0.663287792,0.80078125,0.534062237,0.608695652,0,0,0,0,0.72743521,0.666972477,0.553784861,0.702997275,0.509615385,0.396396396,0.499300699,0,0.548888889,0.852873563,0.627024291,0,0.847457627
43,1,0.70212766,0,0.568527919,0,0,0.552836053,0,0.87962963,0,0.890889831,0.838616715,0.74852071,0.729552379,0.680369128,0.255102041,0.804878049,0.727272727,0.463626292,0.577777778,0.927888446,0.647421772,0.809570313,0.550042052,0.52173913,0,0,0,0,0.634495085,0.666972477,0.555776892,0.702997275,0.509615385,0.405405405,0.496783217,0,0.537777778,0.804597701,0.615890688,0,0.813559322
44,1,0.723404255,0,0.563451777,0,0,0.548951049,0,0.875,0,0.893008475,0.794511966,0.74556213,0.610733536,0.623322148,0.255102041,0.804878049,0.727272727,0.443870015,0.542857143,0.913944223,0.647862494,0.693359375,0.475189235,0.439482961,0,0,0,0,0.521894549,0.665137615,0.557768924,0.711171662,0.509615385,0.405405405,0.47048951,0,0.473333333,0.781609195,0.582995951,0,0.779661017
45,1,0.723404255,0,0.568527919,0,0,0.555167055,0,0.824074074,0,0.870762712,0.741135196,0.692307692,0.502460745,0.609060403,0.255102041,0.804878049,0.772727273,0.404542097,0.511111111,0.947808765,0.657117673,0.610351563,0.379310345,0.438307873,0,0,0,0,0.480786416,0.665137615,0.561752988,0.716621253,0.509615385,0.405405405,0.419020979,0,0.486666667,0.652873563,0.542004049,0,0.661016949
46,1,0.723404255,0,0.578680203,0,0,0.544289044,0,0.796296296,0,0.842690678,0.704548302,0.633136095,0.42137333,0.51090604,0.255102041,0.804878049,0.772727273,0.389586411,0.495238095,0.892430279,0.588805641,0.5390625,0.355761144,0.367802585,0,0,0,0,0.428060769,0.665137615,0.565737052,0.708446866,0.509615385,0.414414414,0.404195804,0,0.726666667,0.517241379,0.608299595,0,0.525423729
47,1,0.723404255,0,0.578680203,0,0,0.538850039,0,0.74537037,0,0.809322034,0.691642651,0.582840237,0.370869463,0.189597315,0.255102041,0.804878049,0.727272727,0.382200886,0.495238095,0.865737052,0.535478184,0.48046875,0.291841884,0.325499412,0,0,0,0,0.448614835,0.665137615,0.579681275,0.702997275,0.509615385,0.414414414,0.395524476,0,0.735555556,0.452873563,0.734311741,0,0.457627119
48,1,0.723404255,0,0.573604061,0,0,0.553224553,0,0.638888889,0,0.771716102,0.666708433,0.544378698,0.308999297,0.099832215,0.255102041,0.804878049,0.727272727,0.372968981,0.495238095,0.851792829,0.387836051,0.28125,0.245584525,0.312965139,0,0,0,0,0.45844504,0.652293578,0.605577689,0.768392371,0.586538462,0.405405405,0.39972028,0,0.506666667,0.485057471,0.763157895,0,0.491525424
49,1,0.723404255,0,0.573604061,0,0,0.538850039,0,0.611111111,0,0.729872881,0.638641774,0.455621302,0.286618233,0.105704698,0.459183673,0.804878049,0.727272727,0.365398818,0.501587302,0.683266932,0.34332305,0.265625,0.242220353,0.269878574,0,0,0,0,0.446827525,0.644036697,0.621513944,0.765667575,0.596153846,0.45045045,0.370909091,0,0.306666667,0.291954023,0.46305668,0,0.288135593
50,1,0.70212766,0,0.573604061,0,0,0.550893551,0,0.606481481,0,0.747881356,0.608319759,0.452662722,0.283102883,0,0.5,0.804878049,0.772727273,0.360598227,0.501587302,0.566533865,0.297928603,0.247070313,0.243061396,0.254602429,0,0,0,0,0.429848079,0.640366972,0.633466135,0.752043597,0.586538462,0.45045045,0.35972028,0,0.16,0.32183908,0.315789474,0,0.322033898
51,1,0.70212766,0,0.578680203,0,0,0.519036519,0,0.611111111,0,0.733580508,0.603934344,0.455621302,0.284391844,0,0.581632653,0.804878049,0.818181818,0.364660266,0.492063492,0.511155378,0.244601146,0.252929688,0.240538267,0.246376812,0,0,0,0,0.425379803,0.636697248,0.639442231,0.749318801,0.586538462,0.441441441,0.384335664,0,0.084444444,0.259770115,0.253036437,0,0.254237288
52,1,0.70212766,0,0.583756345,0,0,0.531857032,0,0.615740741,0,0.733050847,0.60932214,0.455621302,0.281462386,0.004194631,0.255102041,0.804878049,0.863636364,0.355243722,0.492063492,0.546613546,0.223446452,0.258789063,0.239697225,0.249902076,0,0,0,0,0.420017873,0.636697248,0.637450199,0.752043597,0.586538462,0.45045045,0.378741259,0,0.088888889,0.232183908,0.280870445,0,0.237288136
53,1,0.70212766,0,0.578680203,0,0,0.55011655,0,0.615740741,0,0.729872881,0.61295577,0.446745562,0.273494258,0.262583893,0.255102041,0.829268293,0.863636364,0.346381093,0.492063492,0.570119522,0.318642574,0.26171875,0.24137931,0.354093224,0,0,0,0,0.406613047,0.636697248,0.641434263,0.754768392,0.586538462,0.459459459,0.382097902,0,0.095555556,0.213793103,0.391700405,0,0.220338983
54,1,0.70212766,0,0.568527919,0,0,0.522533023,0,0.597222222,0,0.691737288,0.624483147,0.470414201,0.33852824,0.328020134,0.255102041,0.829268293,0.818181818,0.349889217,0.485714286,0.60438247,0.536800353,0.322265625,0.24137931,0.410105758,0,0,0,0,0.420017873,0.636697248,0.639442231,0.771117166,0.586538462,0.468468468,0.383496503,0,0.1,0.294252874,0.473684211,0,0.288135593
55,1,0.723404255,0,0.573604061,0,0,0.533799534,0,0.606481481,0,0.69279661,0.673850395,0.535502959,0.435083197,0.712248322,0.265306122,0.829268293,0.681818182,0.371307238,0.482539683,0.799203187,0.57910974,0.46875,0.307821699,0.573051312,0,0,0,0,0.443252904,0.635779817,0.641434263,0.771117166,0.586538462,0.513513514,0.419020979,0,0.1,0.310344828,0.638157895,0,0.305084746
56,1,0.70212766,0,0.563451777,0,0,0.571872572,0,0.611111111,0,0.731991525,0.714196216,0.594674556,0.505624561,0.697986577,0.255102041,0.829268293,0.545454545,0.385339734,0.511111111,0.895219124,0.58704275,0.604492188,0.39529016,0.572659616,0,0,0,0,0.542448615,0.627522936,0.645418327,0.776566757,0.586538462,0.513513514,0.415944056,0,0.126666667,0.503448276,0.765688259,0,0.508474576
57,1,0.70212766,0,0.568527919,0,0,0.525252525,0,0.671296296,0,0.826800847,0.75078311,0.647928994,0.539840637,0.771812081,0.897959184,0.829268293,0.636363636,0.395310192,0.552380952,0.907171315,0.565006611,0.620117188,0.490328007,0.569917744,0,0,0,0,0.578194817,0.630275229,0.639442231,0.776566757,0.586538462,0.504504505,0.453426573,0,0.215555556,0.597701149,0.722165992,0,0.593220339
58,1,0.70212766,0,0.578680203,0,0,0.528749029,0,0.703703704,0,0.842690678,0.767322391,0.674556213,0.49789079,0.786912752,0.948979592,0.804878049,0.727272727,0.417651403,0.558730159,0.918326693,0.56324372,0.561523438,0.530698066,0.579710145,0,0,0,0,0.6282395,0.639449541,0.633466135,0.757493188,0.586538462,0.513513514,0.445314685,0,0.215555556,0.687356322,0.759615385,0,0.694915254
59,1,0.70212766,0,0.583756345,0,0,0.533799534,0,0.796296296,0,0.840572034,0.766695903,0.692307692,0.43906726,0.786912752,0.908163265,0.780487805,0.727272727,0.415620384,0.565079365,0.905976096,0.556192155,0.416992188,0.522287637,0.630630631,0,0,0,0,0.73458445,0.641284404,0.645418327,0.74386921,0.576923077,0.504504505,0.45006993,0,0.251111111,0.724137931,0.78340081,0,0.728813559
60,1,0.70212766,0,0.583756345,0,0,0.531857032,0,0.796296296,0,0.845338983,0.755795013,0.644970414,0.396883056,0.787751678,1,0.804878049,0.727272727,0.411004431,0.568253968,0.913944223,0.499338916,0.364257813,0.481917578,0.62083823,0,0,0,0,0.728328865,0.643119266,0.639442231,0.730245232,0.576923077,0.513513514,0.357202797,0,0.251111111,0.71954023,0.744433198,0,0.728813559
61,1,0.70212766,0,0.583756345,0,0,0.52991453,0,0.782407407,0,0.852754237,0.729607819,0.615384615,0.372158425,0.786912752,0.897959184,0.804878049,0.681818182,0.391802068,0.577777778,0.909960159,0.472895549,0.520507813,0.445752733,0.637681159,0,0,0,0,0.690795353,0.642201835,0.631474104,0.757493188,0.576923077,0.495495495,0.37034965,0,0.297777778,0.708045977,0.735323887,0,0.711864407
62,1,0.723404255,0,0.578680203,0,0,0.588578089,0,0.731481481,0,0.835805085,0.705801278,0.591715976,0.417037731,0.795302013,0.897959184,0.829268293,0.727272727,0.398079764,0.574603175,0.905976096,0.47157338,0.543945313,0.419680404,0.642381512,0,0,0,0,0.649687221,0.642201835,0.631474104,0.74386921,0.567307692,0.522522523,0.377622378,0,0.451111111,0.675862069,0.696356275,0,0.677966102
63,1,0.723404255,0,0.588832487,0,0,0.566045066,0,0.740740741,0,0.769067797,0.696654555,0.582840237,0.470471057,0.80033557,0.897959184,0.829268293,0.727272727,0.406942393,0.507936508,0.893625498,0.476862054,0.678710938,0.423885618,0.726596161,0,0,0,0,0.579982127,0.641284404,0.629482072,0.735694823,0.567307692,0.513513514,0.457902098,0,0.513333333,0.645977011,0.780870445,0,0.644067797
64,1,0.723404255,0,0.583756345,0,0,0.590520591,0,0.777777778,0,0.774894068,0.722841749,0.627218935,0.584837122,0.798657718,0.908163265,0.829268293,0.727272727,0.421344165,0.59047619,0.890039841,0.607315998,0.729492188,0.429772918,0.767724246,0,0,0,0,0.665773012,0.641284404,0.629482072,0.727520436,0.567307692,0.513513514,0.466573427,0,0.455555556,0.583908046,0.883603239,0,0.576271186
65,1,0.723404255,0,0.583756345,0,0,0.547785548,0,0.740740741,0,0.844279661,0.770329533,0.695266272,0.740567143,0.795302013,0.897959184,0.829268293,0.727272727,0.43648449,0.650793651,0.86812749,0.676068753,0.782226563,0.453322119,0.726204465,0,0,0,0,0.673815907,0.641284404,0.625498008,0.727520436,0.557692308,0.522522523,0.55020979,0,0.411111111,0.731034483,0.777834008,0,0.728813559
66,1,0.744680851,0,0.573604061,0,0,0.579254079,0,0.777777778,0,0.814088983,0.823205112,0.727810651,0.786969768,0.711409396,0.897959184,0.829268293,0.727272727,0.434638109,0.682539683,0.871314741,0.681357426,0.7734375,0.506307822,0.654132393,0,0,0,0,0.809651475,0.641284404,0.623505976,0.716621253,0.557692308,0.522522523,0.56,0,0.388888889,0.754022989,0.734311741,0,0.762711864
